Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Total censo electoral,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,UNION DE CENTRO DEMOCRATICO_UCD_votos,UNION DE CENTRO DEMOCRATICO_UCD_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,PARTIDO COMUNISTA DE ESPAÑA_PCE_votos,PARTIDO COMUNISTA DE ESPAÑA_PCE_diputados,COALICION DEMOCRATICA_CD_votos,COALICION DEMOCRATICA_CD_diputados,COALICION CONVERGENCIA Y UNIO_CIU_votos,COALICION CONVERGENCIA Y UNIO_CIU_diputados,PARTIDO UNION NACIONAL_UN_votos,PARTIDO UNION NACIONAL_UN_diputados,PARTIDO ANDALUCISTA_PSA-PA_votos,PARTIDO ANDALUCISTA_PSA-PA_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_PNV_diputados,PARTIDO DEL TRABAJO DE ESPAÑA_PTE_votos,PARTIDO DEL TRABAJO DE ESPAÑA_PTE_diputados,HERRI BATASUNA_HB_votos,HERRI BATASUNA_HB_diputados,PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)_PSOE-H_votos,PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)_PSOE-H_diputados,ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES_ORT_votos,ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES_ORT_diputados,ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL_ERFN_votos,ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL_ERFN_diputados,EUSKADIKO EZKERRA_EE_votos,EUSKADIKO EZKERRA_EE_diputados,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA_MC-OIC_votos,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA_MC-OIC_diputados,BLOQUE NACIONAL POPULAR GALLEGO_BNPG_votos,BLOQUE NACIONAL POPULAR GALLEGO_BNPG_diputados,UNION DEL PUEBLO CANARIO_C-UPC_votos,UNION DEL PUEBLO CANARIO_C-UPC_diputados,BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL_BEAN_votos,BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL_BEAN_diputados,UNIDADE GALEGA_PG-POG-PSG_votos,UNIDADE GALEGA_PG-POG-PSG_diputados,IZQUIERDA REPUBLICANA_IR_votos,IZQUIERDA REPUBLICANA_IR_diputados,PARTIDO CARLISTA_PCARL_votos,PARTIDO CARLISTA_PCARL_diputados,ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA_OCEBR-UCE_votos,ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA_OCEBR-UCE_diputados,PARTIDO COMUNISTA DE LOS TRABAJADORES_PCT_votos,PARTIDO COMUNISTA DE LOS TRABAJADORES_PCT_diputados,PARTIDO ARAGONES REGIONALISTA_PAR_votos,PARTIDO ARAGONES REGIONALISTA_PAR_diputados,LIGA COMUNISTA REVOLUCIONARIA_LCR_votos,LIGA COMUNISTA REVOLUCIONARIA_LCR_diputados,UNION FORAL PAIS VASCO_UFV_votos,UNION FORAL PAIS VASCO_UFV_diputados,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA_FJONSA_votos,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA_FJONSA_diputados,UNION DEL PUEBLO NAVARRO_UPN_votos,UNION DEL PUEBLO NAVARRO_UPN_diputados,COALICION POR ARAGON_PSAR - PSDA_votos,COALICION POR ARAGON_PSAR - PSDA_diputados,PARTIDO NACIONALISTA DE CASTILLA Y LEON_PANCAL_votos,PARTIDO NACIONALISTA DE CASTILLA Y LEON_PANCAL_diputados,PARTIDO LIBERAL_PLIB_votos,PARTIDO LIBERAL_PLIB_diputados,UNIO REGIONAL VALENCIANISTA_URV_votos,UNIO REGIONAL VALENCIANISTA_URV_diputados,PARTIT NACIONALISTA DEL PAIS VALENCIA_PNPV_votos,PARTIT NACIONALISTA DEL PAIS VALENCIA_PNPV_diputados,UNION NAVARRA DE IZQUIERDA_UNAI_votos,UNION NAVARRA DE IZQUIERDA_UNAI_diputados,PARTIDO RURALISTA ESPAÑOL_PRE_votos,PARTIDO RURALISTA ESPAÑOL_PRE_diputados,PARTIDO DEL PAIS CANARIO_PDPCAN_votos,PARTIDO DEL PAIS CANARIO_PDPCAN_diputados,SOCIALISTAS DE MALLORCA I MENORCA_SMIM_votos,SOCIALISTAS DE MALLORCA I MENORCA_SMIM_diputados,PARTIDO SINDICALISTA_PSIN_votos,PARTIDO SINDICALISTA_PSIN_diputados,UNION PARA LA LIBERTAD DE EXPRESION_ULE_votos,UNION PARA LA LIBERTAD DE EXPRESION_ULE_diputados,ESTAT CATALA_E CATALA_votos,ESTAT CATALA_E CATALA_diputados,PARTIDO CANTONAL_PCant_votos,PARTIDO CANTONAL_P-Cant_diputados,CANDIDATURA INDEPENDIENTE DEL CAMPO_CIC_votos,CANDIDATURA INDEPENDIENTE DEL CAMPO_CIC_diputados,DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA_DSCC_votos,DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA_DSCC_diputados,PARTIDO PROVERISTA_PPROV_votos,PARTIDO PROVERISTA_PPROV_diputados,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA_ARDE_votos,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA_ARDE_diputados,LIGA COMUNISTA_LC_votos,LIGA COMUNISTA_LC_diputados,CONCEYU NACIONALISTA ASTUR_CNA_votos,CONCEYU NACIONALISTA ASTUR_CNA_diputados,FALANGE ESPAÑOLA AUTENTICA_FEA_votos,FALANGE ESPAÑOLA AUTENTICA_FEA_diputados,PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA_PIPPA_votos,PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA_PIPPA_diputados,PARTIDO OBRERO Y CAMPESINO_POC_votos,PARTIDO OBRERO Y CAMPESINO_POC_diputados,CANDIDATOS INDEPENDIENTES_CIME_votos,CANDIDATOS INDEPENDIENTES_CIME_diputados,FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA_UF-FI-AT_votos,FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA_UF-FI-AT_diputados,FALANGE ESPAÑOLA - UNIDAD FALANGISTA_FE-UF_votos,FALANGE ESPAÑOLA - UNIDAD FALANGISTA_FE-UF_diputados
Cataluña                      ,17,Girona                                            ,460808,634,336539,240636,236594,235866,728,4042,58939,2,66328,2,22261,0,7927,0,58735,1,2372,0,0,0,0,0,1229,0,0,0,0,0,513,0,9964,0,0,0,457,0,0,0,0,0,1939,0,0,0,1374,0,517,0,1455,0,1440,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataluña                      ,25,Lleida                                            ,355891,492,267584,174656,172170,171491,679,2486,54540,2,42937,1,18340,0,5509,0,27399,1,1875,0,0,0,0,0,1914,0,0,0,0,0,355,0,13336,0,0,0,562,0,0,0,0,0,1476,0,0,0,1066,0,461,0,618,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataluña                      ,43,Tarragona                                         ,521889,652,372005,251500,247815,247224,591,3685,69926,2,71417,2,35283,1,9998,0,34792,0,2311,0,0,0,0,0,1201,0,0,0,0,0,1038,0,11382,0,0,0,1295,0,0,0,0,0,2117,0,0,0,1099,0,1622,0,921,0,1746,0,0,0,375,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extremadura                   ,6,Badajoz                                           ,662557,761,461577,332132,328892,328319,573,3240,146699,4,122680,3,30873,0,11194,0,0,0,6220,0,0,0,0,0,1852,0,0,0,3183,0,4779,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extremadura                   ,10,Cáceres                                           ,441306,480,311681,209735,207007,206551,456,2728,97592,3,78670,2,10777,0,8490,0,0,0,5656,0,0,0,0,0,1427,0,0,0,0,0,1503,0,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0
Galicia                       ,15,A Coruña                                          ,1109857,1294,820874,437702,429383,428981,402,8319,200120,6,76873,2,20213,0,50588,1,0,0,4285,0,0,0,0,0,3043,0,0,0,12368,0,1423,0,0,0,0,0,2254,0,23247,0,0,0,0,0,28136,0,1490,0,0,0,1446,0,2271,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia                       ,27,Lugo                                              ,416972,548,328638,161880,159620,159120,500,2260,79964,3,27920,1,2441,0,30731,1,0,0,816,0,0,0,0,0,407,0,0,0,0,0,286,0,0,0,0,0,264,0,11834,0,0,0,0,0,2911,0,658,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0
Galicia                       ,32,Ourense                                           ,445232,514,346660,143391,143391,143391,0,0,75271,3,23292,1,3829,0,26901,1,0,0,0,0,0,0,0,0,741,0,0,0,0,0,417,0,0,0,0,0,622,0,7899,0,0,0,0,0,3348,0,0,0,606,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia                       ,36,Pontevedra                                        ,888307,1084,617127,296770,291182,290298,884,5588,137769,5,49213,2,16111,0,37046,1,0,0,2733,0,0,0,0,0,2637,0,0,0,0,0,1081,0,0,0,0,0,1693,0,17909,0,0,0,0,0,21160,0,970,0,877,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comunidad de Madrid           ,28,Madrid                                            ,4578974,5087,3177732,2328229,2307644,2298953,8691,20585,764830,12,769328,12,310496,4,198345,3,0,0,110730,1,0,0,0,0,25832,0,0,0,13322,0,48354,0,0,0,3029,0,9095,0,0,0,0,0,0,0,0,0,7950,0,1683,0,6680,0,4675,0,0,0,4691,0,0,0,5264,0,0,0,0,0,0,0,4873,0,0,0,0,0,0,0,0,0,0,0,0,0,3845,0,1716,0,0,0,0,0,0,0,0,0,1510,0,0,0,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comunidad Foral de Navarra    ,31,Navarra                                           ,506661,807,363713,257005,252992,252171,821,4013,83302,3,55399,1,5619,0,0,0,0,0,0,0,0,0,21305,0,0,0,22425,0,0,0,0,0,0,0,0,0,2962,0,0,0,0,0,0,0,0,0,514,0,19522,0,0,0,0,0,0,0,1040,0,0,0,0,0,28248,1,0,0,0,0,0,0,0,0,0,0,10970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
País Vasco                    ,1,Araba - Álava                                     ,251965,315,174145,119892,116601,116120,481,3291,29625,2,24891,1,3877,0,0,0,0,0,1061,0,0,0,26722,1,777,0,11594,0,683,0,1218,0,0,0,5442,0,1246,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,7,0,0,0,601,0,7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
País Vasco                    ,20,Gipuzkoa                                          ,707968,744,507142,334773,328647,327886,761,6126,50551,1,59863,2,10034,0,0,0,0,0,2397,0,0,0,87090,2,0,0,57811,1,0,0,2765,0,0,0,42293,1,4754,0,0,0,0,0,0,0,0,0,498,0,4124,0,0,0,0,0,0,0,2000,0,3419,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
